Employee_ID;Salary;Deparment
35901;9889;4
78482;3383;4
96062;5404;1
53207;7021;2
5958;4469;6
98246;4561;2
27558;6559;5
64840;5554;3
94577;8494;3
42029;1808;1
20426;5709;5
18932;7202;2
30277;2481;3
65131;6656;4
54454;9116;3
71460;1113;4
70090;5585;1
83102;2677;2
87332;8855;4
14098;1749;3
77132;4786;1
41536;8356;7
37511;7303;6
65201;5908;7
88285;6662;1
49241;1111;5
23944;2285;3
71597;6204;4
82420;9267;6
77507;4172;7
85052;3990;4
47772;9020;7
74800;8110;3
63267;1205;2
4705;8584;6
40111;9698;2
49232;8990;7
93267;1257;1
90425;1692;5
83816;8400;2
42839;9967;2
11202;6500;4
39393;5859;3
62779;8697;7
2262;4347;2
55448;3083;1
1792;5862;3
3973;1529;2
19679;5445;2
73719;5923;2
46541;1287;3
52411;6850;4
79609;3371;2
63758;3511;4
42108;9696;2
55025;3415;4
16073;2129;7
19152;7682;6
33261;2844;3
51132;1885;6
97757;1219;7
40572;5338;3
34870;8216;5
5387;6134;7
32642;9716;6
76846;1080;6
93464;4582;4
7090;1768;2
6565;7805;6
6142;1550;5
66533;9970;7
97191;9078;5
86556;5500;3
5170;1018;1
73522;4585;5
28175;6848;4
64095;4782;3
24156;8155;4
2711;2985;2
58470;8801;3
22607;5186;2
40321;8973;1
53464;5113;4
64832;8251;3
13064;3197;2
5640;7171;2
65195;3673;4
40804;1457;1
51341;2982;3
34422;6517;3
75690;4167;2
67138;8224;6
95241;1095;6
12045;3646;5
47015;2331;6
29411;6854;5
82400;2684;1
19405;3125;6
7842;2793;2
81727;4189;1
71165;2893;3
25400;7566;5
484;3095;7
88032;8491;2
15781;7231;6
67124;6117;6
12391;3140;1
94032;9945;7
83799;9809;6
30631;2512;7
35910;6325;1
3410;2331;2
46225;5997;7
20929;7394;5
5293;8595;1
52826;4846;4
25567;6199;3
97424;8285;4
13016;1960;4
51805;6522;5
74710;2454;3
18494;4217;7
44524;2674;6
67445;4919;6
97341;4712;2
75416;3426;1
85259;3679;4
53691;2929;4
4836;4292;7
59168;7583;6
17012;2805;2
18834;8641;6
25854;2590;5
1345;3436;3
12782;3211;6
69085;8014;7
88653;6251;5
37810;3847;2
55531;4052;6
70088;4518;5
83240;9693;7
21833;4316;1
10104;9318;4
64332;8381;2
55161;4964;5
96558;8342;1
10789;8768;3
29000;1177;7
94319;9962;5
33561;7282;1
60652;4329;6
88300;6779;6
72125;5796;5
30144;5480;3
50092;4484;4
6638;1258;1
57154;1107;4
56735;3653;5
85847;2000;1
92157;5491;4
76686;2449;2
29402;7360;2
49163;5461;3
42775;8775;5
94545;8201;3
38469;7533;5
58378;2195;7
62716;2874;4
14790;8514;6
22125;7181;3
57983;3033;3
49000;1684;2
75026;8831;2
76394;4281;1
67875;3633;6
96882;3398;4
25163;2185;4
88442;1933;1
33444;3485;7
66556;3125;5
81206;7234;4
53715;7071;3
82586;4486;7
95038;7866;7
48818;2071;2
61952;6253;6
46742;3415;4
59273;5582;1
34588;6526;1
9610;6794;3
40586;9540;3
45903;4499;2
31442;8460;3
56016;1066;6
64995;8527;4
13062;6807;5
97989;7121;5
61229;6566;1
52730;2061;6
82530;5146;4
56035;7505;2
66714;1177;3
94591;6239;7
48364;4292;4
69492;2975;3
92327;2209;1
19666;4620;5
84385;4743;7
70917;4689;6
71555;2431;5
21516;6566;2
45044;9319;7
43455;7931;2
24016;2841;3
54570;1567;6
69438;8396;3
22105;8979;7
90538;4336;5
98164;2167;5
21652;3163;4
7426;2088;7
37792;1526;3
47843;9349;6
56216;2187;3
51249;1859;5
4513;3375;3
76437;5533;2
44376;7522;4
51871;8311;2
22453;3859;5
9922;4249;5
14470;4288;2
71029;5969;5
75743;8500;6
63372;1910;6
2191;1241;2
59613;7327;2
9748;7951;6
74448;7821;1
18728;7153;5
54498;2561;5
63137;5544;4
24051;3501;5
91160;4667;4
26179;1546;6
35743;3180;5
37110;7846;6
56582;9333;1
41610;7078;4
75826;9312;2
41333;6168;3
8370;5337;6
2849;5064;1
92889;3750;5
7826;3310;2
23743;9215;6
13302;9394;1
7160;8637;2
56613;2022;7
98778;8471;7
42722;6465;2
57092;8903;7
28044;2139;7
32254;7655;1
6366;5337;7
87852;8230;2
2701;8128;2
7154;2295;6
23555;9986;2
56021;4324;5
34161;8829;1
47558;6125;2
76674;6487;5
59511;8752;5
76624;6718;4
56086;1333;5
49103;5696;7
18801;3169;1
86317;7931;7
29831;1110;4
31800;8140;7
80067;2103;4
17888;7195;6
42299;7150;1
61991;8792;6
25390;9267;4
10502;1331;7
85688;9910;5
50555;2836;6
10126;7726;1
33412;1662;2
50296;9134;4
73591;2969;6
69670;9052;3
23680;8405;3
79482;3620;2
23126;5768;3
75171;1990;3
48366;9553;5
88731;7473;5
11847;2238;2
52747;7636;6
2615;2291;7
45758;9497;1
40620;7348;1
75512;6340;6
53590;6120;3
75709;9211;3
17629;7080;2
58849;8012;2
67488;5760;6
26372;9563;7
18253;7487;3
48599;9703;4
18233;8524;2
43534;8814;1
16871;5480;4
48588;9268;3
24768;4829;2
28048;7437;2
57606;5063;4
16810;1426;3
36129;3167;4
831;8770;7
4076;8112;2
25588;2923;4
66503;7798;1
91210;6522;5
46655;9366;4
66634;8016;5
58985;5418;2
89597;9378;7
69036;1224;4
7229;5534;6
83580;1647;7
99709;4194;4
1637;8059;2
21836;2051;2
85500;9799;4
81662;6314;4
80644;8201;5
50361;6544;2
55596;4935;1
71314;9943;1
88073;2373;3
14844;3090;3
37349;5836;1
44936;8091;4
385;9595;6
76075;3160;6
18815;1936;3
18827;8692;7
18776;2387;4
2703;5805;5
26483;9859;1
4413;5080;1
69634;2003;7
49711;1294;7
94701;5852;2
48500;3854;7
35044;3980;5
62373;6935;6
40334;2583;7
90546;2679;3
74267;5014;7
1080;6972;3
58867;6597;7
76173;1990;4
84335;3337;4
46960;1991;4
68444;6020;2
78544;6998;4
76827;8812;5
26009;8475;7
3960;7180;4
82858;6582;1
73451;7040;1
653;5894;2
83360;2410;5
75553;4653;4
39758;7345;1
39847;7604;3
13703;1702;4
91456;9473;4
25114;9827;1
18394;4569;3
61051;1737;6
75675;6518;4
77644;8377;4
50866;7221;2
27803;4365;3
5680;6297;1
70586;8335;7
26424;8439;7
73607;8435;2
683;7595;5
88641;2468;3
32232;1387;1
27113;1153;6
45830;9215;2
44295;5320;1
96382;4369;5
76026;2403;4
15703;2257;6
83990;3588;1
88757;5654;2
80241;4890;6
99624;6065;4
48826;9668;5
71586;2243;5
90170;5647;1
11345;4941;5
29424;5957;4
17941;4980;4
14579;8399;6
20968;4067;4
79512;3861;2
3268;9475;3
5346;3060;4
56005;5553;5
11813;5390;1
40213;3635;4
2108;4208;5
4071;2463;1
98162;7669;2
32976;3482;1
54241;3028;5
23306;1287;1
36623;4016;6
79944;2512;5
68254;1024;3
38812;1998;7
31127;9000;1
57786;3930;5
98297;5974;5
15708;5305;3
16370;2325;5
75566;5370;2
30672;1676;7
63459;3621;1
5209;8563;3
60138;8459;7
87009;1217;7
97731;1224;6
72899;4942;3
61652;4338;5
83147;4737;7
1217;3214;1
5270;5639;2
28196;6582;3
68675;6156;2
57035;2244;2
33877;6456;4
4073;3189;3
40781;3811;2
68649;1037;2
69825;9097;7
74215;4125;1
90379;4107;7
67790;1183;2
94650;5472;6
14404;1137;5
77140;2028;1
99192;5867;5
30367;4076;1
5037;7563;2
13616;4821;6
49792;9523;7
36844;3248;5
77560;6247;2
41822;6053;4
62606;1501;5
5220;2730;1
1332;9872;3
92038;6692;7
38701;7028;3
83317;8204;2
46310;1468;7
87213;2409;4
38627;2902;7
23952;6028;5
59473;9405;1
64908;5619;4
53041;6238;3
7894;8446;3
90873;1981;5
42449;2216;5
53856;8264;1
7980;9994;2
75504;8121;2
73082;5180;1
220;6869;2
65768;1264;2
39708;1449;5
81344;9015;1
85541;2639;4
21904;2991;3
80087;8481;7
50529;5684;2
84674;4462;5
44444;8643;6
57586;1827;2
83628;1111;4
75955;6734;4
44842;6710;2
38850;9979;5
28910;6374;1
8894;6619;5
24192;8499;6
71552;8288;5
6144;2999;4
74575;9091;6
15302;4476;6
57151;8067;4
1207;6721;5
34264;8629;1
80203;5077;7
70497;4214;5
41341;6965;5
56143;5708;7
92138;9580;2
20091;4356;2
96652;1324;7
1398;8066;6
78862;3365;5
80817;8719;4
22380;1797;4
2267;5204;2
44575;6709;3
25913;3201;6
21874;1136;6
16558;4913;7
69213;6023;6
20611;1963;6
48794;3145;2
64297;4935;3
380;6031;2
28553;1508;2
22718;1969;3
3435;9716;3
68644;1981;3
46208;7371;1
10382;3381;6
63392;8020;2
5561;2966;7
20240;8773;5
58900;8491;1
93053;8030;4
49310;8550;5
9216;7435;1
79845;4202;7
79964;2927;3
27438;8612;6
91099;7958;3
54364;8318;6
29034;6812;4
44144;5202;1
22984;2459;3
85944;4854;5
69400;4992;6
99538;2099;4
94842;5579;3
17039;3732;6
10700;4090;2
14208;3860;2
99502;1322;6
65033;7765;3
87872;9121;3
1786;8748;3
41801;4939;4
45642;6843;4
38742;8699;1
62815;4568;4
98280;2067;3
76242;4099;5
2213;7981;6
21176;7793;3
14483;5408;1
41345;3564;5
88708;9563;6
16802;7904;6
71238;3374;5
72706;5433;5
4151;9821;6
93110;3784;1
91244;9401;1
46520;7025;2
60843;2850;2
86898;9886;3
77429;9803;7
10534;3640;6
27565;3367;2
79592;9971;7
11553;9511;7
67392;6113;3
30354;9899;7
47971;9678;7
21205;3683;3
17018;9499;5
84482;6754;1
43159;7260;1
71819;4599;4
64943;1304;5
59562;3017;6
72855;4878;3
23819;5457;7
99565;4341;1
57951;6072;2
9766;4775;3
61182;5634;6
3911;7233;4
32158;8570;5
40053;4872;1
56191;6365;2
65958;9925;6
2728;6509;3
92659;6434;3
85625;2444;4
95526;1492;7
50362;4286;7
46200;8640;5
39821;6585;4
21856;4716;1
88956;4528;3
87989;4894;1
97416;6322;5
37412;4650;1
38876;1050;1
73008;7508;6
44564;2388;2
56293;8706;1
31853;6236;5
24925;3603;6
7702;1574;1
34027;6312;7
25431;5756;6
93040;9790;4
6952;5965;3
48650;5483;1
4019;6243;7
89428;5427;6
16717;2942;7
10811;3230;1
44388;4316;5
50566;6871;3
78756;4543;1
2187;2906;7
20669;3692;4
96442;9739;1
86765;3779;6
65453;5856;1
73436;8025;7
41366;6813;5
68530;3033;7
46761;6859;4
99821;5636;4
24115;7046;3
84708;1431;7
83310;4585;3
78540;5011;3
4919;6999;1
26132;5231;4
60357;2725;4
72121;8711;1
58563;1494;2
84116;7607;7
2620;3297;5
7562;5659;1
85189;8787;5
68023;5357;3
70361;3811;4
48481;7444;6
3912;8992;4
60603;4447;4
49855;8954;6
48008;4838;2
63518;1810;6
88873;1390;2
89390;8225;5
86302;7446;4
33007;3758;6
82020;7605;3
80509;5913;2
22811;9713;6
99183;8535;1
29729;9791;5
18056;4975;3
90577;5133;3
29989;5035;7
38423;8372;2
30038;3110;5
34123;4688;2
70096;4881;3
76766;7517;5
81102;2500;5
32531;3921;6
27266;3305;1
72329;2603;4
14006;8520;1
38083;7353;1
64938;9830;1
6587;8538;6
7741;8125;6
81305;2811;1
4029;7536;7
6649;7995;7
90123;8903;6
75983;3708;7
90473;5730;4
20441;7941;6
84137;5352;2
22863;3355;1
87923;9110;1
58185;6758;6
25394;1857;7
76421;7068;4
60091;8440;5
81148;6449;4
37240;2786;3
65838;1351;7
58816;4194;3
75124;5450;2
72729;6076;2
46039;3208;2
68195;2415;4
50274;1435;1
76530;7945;4
43934;2878;6
85907;1023;2
44876;2223;3
77940;5300;1
11546;5542;4
25965;2847;4
79861;9002;3
32805;8450;2
98562;1013;4
150;8525;7
52361;6288;5
62898;4361;4
51106;2958;6
36905;3405;3
97166;3956;5
41740;8722;2
60775;6845;7
55344;9349;3
82717;7830;1
56938;3242;2
54856;4447;6
75437;6792;6
62962;4603;6
92743;5164;5
82880;2649;1
43012;9129;1
91341;6865;3
91593;3947;3
39092;6781;4
81871;8224;3
53865;2314;4
42772;8335;7
89288;1028;1
43766;7143;2
44263;1406;5
77881;7381;7
79141;9594;6
72277;9805;4
4065;3312;7
82134;8543;2
91812;8868;3
6503;6485;2
8865;4900;1
45797;6379;3
10395;3472;6
58729;3682;5
80921;6615;3
67325;3916;6
95516;5746;6
79224;8422;3
69674;8718;5
99756;1331;3
11948;3226;4
77317;7682;6
44484;2154;4
59674;1398;2
41913;4817;4
87247;5039;3
13976;3389;6
39715;9761;6
16715;1230;3
32306;5862;5
54117;7242;6
19170;9093;2
45753;3025;1
77749;9775;6
34288;2397;7
34850;6555;4
58271;4304;3
8190;5670;2
57729;1297;4
22889;2494;6
26927;8460;5
84653;4502;4
37697;9551;7
74744;5095;2
73148;9013;3
74846;4566;1
39494;3194;5
67606;4303;3
13109;7678;1
75728;9167;3
54657;8387;6
65762;3160;2
39333;6687;2
19977;6262;2
59206;7543;7
35317;9507;5
49851;8333;2
58308;4980;4
31007;6869;7
46153;7497;6
33189;9903;7
83209;3359;7
9095;9850;2
25708;8766;7
71090;1537;6
52565;1435;6
22474;1241;4
19478;3329;4
85744;8312;2
69337;4445;1
35963;6494;4
44004;6173;5
41052;8673;2
60917;7421;4
65206;9103;4
49993;2323;3
87905;6537;5
73233;3792;5
94468;7540;6
66228;7352;7
29876;3842;7
97077;6063;7
2771;8934;3
13454;9990;5
80603;5481;6
57351;6084;1
40591;9480;6
16003;9446;4
85633;5743;5
72122;4808;1
43334;4914;7
83177;3680;6
6512;2657;7
58662;6240;7
20362;5015;5
67364;2753;2
75625;4365;6
45276;9343;5
54794;3395;3
85002;7078;7
90076;1573;4
80332;9040;7
99711;4578;1
25190;1140;4
85964;4796;4
33580;2400;4
64490;1935;2
38770;9025;1
83049;9606;4
65935;7991;1
337;5037;6
89958;8985;7
49316;2765;6
82256;9049;3
72333;1391;1
20457;5080;7
93051;5649;7
47104;1204;4
69229;7634;5
77188;5492;3
41242;2142;5
38853;9318;7
1096;5310;4
33665;5186;2
12404;2192;7
58668;6206;5
94197;2420;1
884;8603;1
11117;6209;5
80647;8549;4
91443;1808;7
54272;3855;6
16049;8745;6
91815;4298;1
33504;8268;1
76528;6528;5
41480;2328;6
45848;1039;2
68436;3914;6
24549;2147;7
40659;8983;7
20514;4291;3
94881;2556;4
22201;1936;3
54225;8991;5
94044;3517;5
36855;6735;6
86513;1531;4
8376;3629;7
52935;6492;6
75564;1577;3
40238;9400;4
89802;6361;6
44175;9722;5
56241;1639;6
19611;4178;5
26603;1204;2
70946;4435;7
96386;6486;3
85854;3452;3
63848;6531;4
92668;4372;2
25701;6522;1
38678;9661;3
49835;9944;4
52404;5008;2
28812;3768;2
25448;8980;5
88121;5552;6
46560;8209;5
51306;2829;6
36093;7096;4
42643;9314;1
99442;7710;3
85514;3273;3
78349;7820;4
75403;2088;6
89015;2688;4
83159;4533;1
61262;9425;2
74902;5959;7
90375;6592;5
82562;6203;7
9120;2498;1
49027;7739;1
35762;3897;2
84736;9110;4
62954;1056;4
38283;5417;7
34676;8371;5
83907;6807;7
48559;9270;3
96802;4537;5
8239;6465;3
86870;8012;3
40380;4652;1
72863;8627;7
63312;1770;6
90222;2581;5
42219;7535;2
48673;4349;5
91;7437;5
94299;2411;2
21791;3718;3
7477;6667;2
96785;8004;2
98798;9705;1
33275;4697;4
6369;3668;3
95867;5775;2
45839;2425;4
77810;5292;6
67770;6120;7
2003;2179;2
65879;1857;6
68887;4981;6
83541;3124;1
80837;7905;5
67020;3183;6
17786;6716;2
50973;9846;2
26396;6244;1
82073;4057;1
7512;8139;1
74013;4553;1
75027;2508;2
31577;7846;2
58046;6767;4
30470;7208;3
83315;3537;1
93940;6156;3
40597;6328;4
57130;3892;7
87474;5767;7
69242;5258;4
85348;3257;7
8382;6859;7
84260;5140;3
10632;5321;7
52083;9910;2
14828;9399;2
51385;5625;1
70306;1451;1
90897;8052;4
75470;5899;6
65933;5472;7
19664;3193;4
80383;6889;7
54766;2002;7
38843;1964;4
90475;5621;3
20357;7451;7
21314;9443;1
75432;6733;1
7771;7286;6
10607;5818;3
36424;2475;2
25141;8524;6
30790;6994;2
64650;2352;3
90117;7104;4
28099;3842;7
26386;9059;6
20033;8058;2
9421;6016;6
95913;4278;4
67776;7852;5
26953;4756;6
20125;2240;4
49967;4885;1
43654;5146;5
55584;1374;7
18749;3698;7
29957;2740;2
25773;1978;1
81563;9172;5
26184;4145;2
90221;7604;5
47456;7939;1
60442;8204;1
76994;4369;3
92886;9766;2
83487;2918;3
85612;6637;5
67338;6854;1
35268;1830;6
33151;6197;4
75887;6421;1
42951;8469;1
15097;5595;7
47091;5148;3
20904;5115;6
43113;7208;5
47131;8852;7
58478;2648;7
10598;9382;7
59211;1105;4
25499;3148;4
3786;1553;2
41845;4715;7
74740;2255;6
49671;1878;5
60227;5794;3
18146;4561;5
56367;4994;7
46432;3676;1
11799;1411;1
15801;7801;3
32890;9134;3
59858;3771;5
35909;8904;3
70173;2017;6
82781;7650;1
39413;6009;3
84812;9092;2
55283;8802;4
26175;9671;5
87463;9783;6
67796;1609;3
32213;7932;2
97268;5121;5
71646;4191;4
8843;1490;4
83245;2696;5
63902;9367;1
72735;8042;6
63060;8863;3
33684;1063;6
24974;7891;2
59572;4983;2
92711;1549;2
74158;4951;3
14168;3876;1
12605;6853;7
22111;6172;6
56984;8872;6
73299;6772;5
6173;7166;5
85393;8912;5
54990;8210;7
47318;4442;3
91827;4099;3
27571;1206;2
30468;3384;7
21174;2334;4
42320;2938;1
99382;8035;7
93243;3393;6
33404;5280;1
64988;7999;6
48659;3958;5
48114;7710;3
98276;8612;3
64011;5714;2
41796;7103;4
82495;1101;4
69985;3053;5
51135;2470;4
69535;9601;1
43658;2792;1
98451;2799;7
36446;2408;6
32112;8736;2
8634;5655;5
19696;4679;4
55255;5105;2
14444;7160;1
10283;6488;1
51486;5832;6
17646;7083;2
78863;8065;2
5459;2128;2
12014;9896;5
59019;4938;4
5240;1184;6
53060;2893;2
91548;6227;3
21544;9696;5
53678;1850;6
59102;4130;7
75584;8164;3
75135;3188;7
73098;4284;2
49573;9760;1
78514;2097;6
3985;2019;4
51481;6448;3
61004;9798;1
16620;9507;1
10690;7783;6
78692;3099;3
14164;2766;5
315;7336;1
54506;4532;6
87044;3664;4
70259;7022;4
97761;4402;3
97005;9571;6
25439;3472;5
87580;3775;4
26073;6657;4
18243;2224;4
63875;4270;6
33244;6627;3
33457;3686;6
45513;4601;6
87845;1624;1
83692;5535;7
80937;5903;5
62066;5295;4
54103;6968;3
8296;8019;7
12767;3637;2
62728;9349;5
66827;2807;4
57;8212;6
73857;1606;6
10747;5541;7
98499;2718;3
72695;6709;5
94892;9314;2
97847;1515;4
44810;2230;2
60170;1415;1
168;5554;3
67324;3132;7
65761;2939;7
10036;4026;2
83252;1367;5
12353;8201;4
94113;2201;3
77124;9412;6
59436;8498;4
78116;8401;6
93700;9790;2
7242;9599;1
22520;1481;5
99430;1209;2
54807;9126;7
70475;1934;2
82631;5558;5
66783;5921;3
2074;3608;7
91406;2284;7
12779;4416;5
71014;1843;5
74887;5552;4
16654;4187;1
95816;5032;6
52319;6847;5
13464;4235;1
90812;4092;3
4503;8294;6
67840;8360;2
30332;9937;2
72707;7718;6
66958;2135;1
93888;4982;3
75526;8759;5
81412;8434;3
23600;5570;4
69380;1411;6
55894;2152;3
98340;7236;3
3490;2804;6
66161;2329;7
6007;7131;7
74469;9249;4
37946;7214;5
6592;4778;5
33046;6150;7
36098;4497;1
88356;4059;4
34405;1256;1
98815;4230;5
62808;7777;7
30081;2678;5
24825;7278;1
92456;3473;1
46804;1630;7
88503;7483;5
7310;1152;5
11769;8837;6
18963;2303;5
25896;8262;5
65446;8930;5
33810;7263;5
93099;9886;2
55569;9131;5
57322;7326;5
85793;6973;3
99451;1075;4
51554;9846;4
3080;5785;4
88994;5620;2
22147;2074;4
24693;9217;2
32828;9312;3
82912;9756;7
14955;8823;2
53747;7967;1
50809;4651;3
86806;7384;4
85764;1432;3
6888;7915;4
40450;1649;6
67610;8025;3
39566;6126;2
33921;2055;3
54870;9278;3
130;3746;2
37631;9463;7
95716;9564;5
7744;4613;7
48016;7399;7
59261;4070;2
51739;1383;6
24722;3970;3
55092;1959;4
28382;6314;1
81050;9520;1
34094;9786;1
23377;3636;7
99397;7524;4
96365;9924;2
71284;7290;5
53816;3705;7
85830;1850;2
87536;3989;3
95156;5762;5
4651;3474;6
12067;9854;1
31704;7116;1
9199;2751;4
76806;9956;7
98391;5635;2
98244;1888;1
62659;3060;4
46749;5164;1
